[LOG] System::create                           : Header version = 1.10.08. Current version = 1.10.08.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11008 (96768), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000025552EBB728 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] SoundI::release                          :  (0000025551AB0E08)
[LOG] SoundI::release                          :     Notes_harp_07 (000002582D825258)
[LOG] SoundI::release                          :  (000002555603ED88)
[LOG] SoundI::release                          :     Wind-Mark_DiAngelo-1940285615 - Trimmed (2) (000002582E947B38)
[LOG] SoundI::release                          :  (0000025551AB0118)
[LOG] SoundI::release                          :     Wind-Mark_DiAngelo-1940285615 - Trimmed (3) (000002582D827138)
[LOG] SoundI::release                          :  (0000025551AAFE38)
[LOG] SoundI::release                          :     Wind-Mark_DiAngelo-1940285615 - Trimmed (4) (000002582D8239F8)
[LOG] SoundI::release                          :  (000002580214E748)
[LOG] SoundI::release                          :     Wind-Mark_DiAngelo-1940285615 - Trimmed (5) (000002582E94B0D8)
[LOG] SoundI::release                          :  (0000025802C70628)
[LOG] SoundI::release                          :     Wind-Mark_DiAngelo-1940285615 - Trimmed (000002582E94E818)
[LOG] SoundI::release                          :  (000002580214EE78)
[LOG] SoundI::release                          :     Notes_harp_06 (000002582E9474B8)
[LOG] SoundI::release                          :  (000002580214E018)
[LOG] SoundI::release                          :     babybongo_roll_02 (000002582E949EF8)
[LOG] SoundI::release                          :  (0000025802150B38)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_highD (000002554EF8F5F8)
[LOG] SoundI::release                          :  (000002580214B7D8)
[LOG] SoundI::release                          :     Notes_harp_11 (000002582E949398)
[LOG] SoundI::release                          :  (000002580214AC58)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_highE (000002582E94C458)
[LOG] SoundI::release                          :  (000002580214E468)
[LOG] SoundI::release                          :     fruitBasket_click_1 (000002582E94CC78)
[LOG] SoundI::release                          :  (0000025551AB03F8)
[LOG] SoundI::release                          :     fruitBasket_click_3_long - Trimmed (2) (000002582D822B58)
[LOG] SoundI::release                          :  (0000025551AB1538)
[LOG] SoundI::release                          :     fruitBasket_click_3_long - Trimmed (3) (000002582D822678)
[LOG] SoundI::release                          :  (000002580214B0A8)
[LOG] SoundI::release                          :     fruitBasket_click_3_long - Trimmed (4) (000002582E94D158)
[LOG] SoundI::release                          :  (000002580214E2F8)
[LOG] SoundI::release                          :     fruitBasket_click_3_long - Trimmed (000002582E94A8B8)
[LOG] SoundI::release                          :  (0000025555EEE388)
[LOG] SoundI::release                          :     Dolphin (000002582D828B38)
[LOG] SoundI::release                          :  (000002580214EB98)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_highG (000002582E949538)
[LOG] SoundI::release                          :  (000002580214DEA8)
[LOG] SoundI::release                          :     Notes_harp_09 (000002582E94CAD8)
[LOG] SoundI::release                          :  (0000025551AB0848)
[LOG] SoundI::release                          :     divers_plumes_phaser_slowed - Trimmed (2) (000002582D827E38)
[LOG] SoundI::release                          :  (0000025547D24918)
[LOG] SoundI::release                          :     divers_plumes_phaser_slowed - Trimmed (3) (000002582D8299D8)
[LOG] SoundI::release                          :  (000002580214D328)
[LOG] SoundI::release                          :     divers_plumes_phaser_slowed - Trimmed (4) (000002554C14E3E8)
[LOG] SoundI::release                          :  (000002580214DA58)
[LOG] SoundI::release                          :     divers_plumes_phaser_slowed - Trimmed (5) (00000256DD39E278)
[LOG] SoundI::release                          :  (0000025802151998)
[LOG] SoundI::release                          :     divers_plumes_phaser_slowed - Trimmed (6) (000002554EF8E5B8)
[LOG] SoundI::release                          :  (0000025802151B08)
[LOG] SoundI::release                          :     divers_plumes_phaser_slowed - Trimmed (000002554395B768)
[LOG] SoundI::release                          :  (0000025551AAAF28)
[LOG] SoundI::release                          :     FOT_SFX_Egg_trail_reverse (000002582D822E98)
[LOG] SoundI::release                          :  (000002555338C6A8)
[LOG] SoundI::release                          :     Notes_harp_05 (000002582D829698)
[LOG] SoundI::release                          :  (000002580214D048)
[LOG] SoundI::release                          :     CIN_flutecollision (000002582E948EB8)
[LOG] SoundI::release                          :  (000002554EA94358)
[LOG] SoundI::release                          :     CIN_MeloCollision (000002582D8250B8)
[LOG] SoundI::release                          :  (0000025547D26E78)
[LOG] SoundI::release                          :     Notes_harp_01 (000002582E94DCB8)
[LOG] SoundI::release                          :  (0000025551AAB938)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_G (000002582D822818)
[LOG] SoundI::release                          :  (0000025551AB0B28)
[LOG] SoundI::release                          :     SFX_CheersChilds (000002582D8272D8)
[LOG] SoundI::release                          :  (0000025551AB1258)
[LOG] SoundI::release                          :     SFX_CheersDucks_v1_test (000002582D828318)
[LOG] SoundI::release                          :  (000002580214C918)
[LOG] SoundI::release                          :     Stinger_congrats_G_v2 (000002582E94BA98)
[LOG] SoundI::release                          :  (0000025551AB09B8)
[LOG] SoundI::release                          :     item_drop_wood_multiples - Trimmed (2) (000002582D823858)
[LOG] SoundI::release                          :  (000002580214F438)
[LOG] SoundI::release                          :     item_drop_wood_multiples - Trimmed (4) (000002582E94ABF8)
[LOG] SoundI::release                          :  (0000025551AB16A8)
[LOG] SoundI::release                          :     item_drop_wood_multiples - Trimmed (000002582D822338)
[LOG] SoundI::release                          :  (0000025555EEFD68)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_highB (000002582D829EB8)
[LOG] SoundI::release                          :  (0000025802C704B8)
[LOG] SoundI::release                          :     Orca (000002582E94D638)
[LOG] SoundI::release                          :  (000002580214F2C8)
[LOG] SoundI::release                          :     FOT_SFX_Oeuf_01 (000002582E949BB8)
[LOG] SoundI::release                          :  (0000025802C70798)
[LOG] SoundI::release                          :     item_drop_metal_multiples - Trimmed (2) (000002582E94D7D8)
[LOG] SoundI::release                          :  (0000025802151268)
[LOG] SoundI::release                          :     item_drop_metal_multiples - Trimmed (3) (000002554EF8E418)
[LOG] SoundI::release                          :  (000002580214D8E8)
[LOG] SoundI::release                          :     item_drop_metal_multiples - Trimmed (5) (000002582E948698)
[LOG] SoundI::release                          :  (000002580214BC28)
[LOG] SoundI::release                          :     item_drop_metal_multiples - Trimmed (000002582E9496D8)
[LOG] SoundI::release                          :  (000002580214F5A8)
[LOG] SoundI::release                          :     FOT_SFX_Map (000002582E9489D8)
[LOG] SoundI::release                          :  (0000025551AAE008)
[LOG] SoundI::release                          :     Stinger_congrats_G_v1 (000002582D825C18)
[LOG] SoundI::release                          :  (0000025551AAFFA8)
[LOG] SoundI::release                          :     lock_shakeAccelere (000002582D827C98)
[LOG] SoundI::release                          :  (0000025802C71A48)
[LOG] SoundI::release                          :     Notes_harp_08 (000002582E94DFF8)
[LOG] SoundI::release                          :  (00000258021513D8)
